Number,Title,URL,Date
1,Kennesaw State alumna triumphs through adversity to inspire as Gwinnett County educator,https://www.kennesaw.edu/news/stories/2025/alumna-triumphs-adversity-inspire-gwinnett-educator.php,"June 18, 2025"
2,Kennesaw State alumni awarded prestigious Fulbright scholarships,https://www.kennesaw.edu/news/stories/2025/ksu-alumni-awarded-fulbright-scholarships.php,"June 17, 2025"
3,Kennesaw State physics professor receives Department of Energy grant to explore light-matter interactions in quantum materials,https://www.kennesaw.edu/news/stories/2025/physics-grant-light-matter-interactions-quantum-materials.php,"June 13, 2025"
4,Triplets each find their own path to success at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/triplets-find-path-to-success-at-ksu.php,"June 12, 2025"
5,Kennesaw State architecture students bring eco-centered design to global stage in Italy,https://www.kennesaw.edu/news/stories/2025/architecture-students-eco-centered-design-italy.php,"June 11, 2025"
6,Kennesaw State educator brings industry experience to the classroom,https://www.kennesaw.edu/news/stories/2025/educator-brings-industry-experience-to-classroom.php,"June 10, 2025"
7,Kennesaw State student draws on personal experience in graduate program,https://www.kennesaw.edu/news/stories/2025/student-draws-on-personal-experience-graduate-program.php,"June 09, 2025"
8,Growth fuels passion for Kennesaw State master's graduate,https://www.kennesaw.edu/news/stories/2025/growth-fuels-passion-for-ksu-masters-graduate.php,"June 06, 2025"
9,Kennesaw State public health grad seeks to make a difference,https://www.kennesaw.edu/news/stories/2025/public-health-grad-seeks-make-a-difference.php,"June 05, 2025"
10,"Kennesaw State professor uses speed, crash data to better understand how to protect school children ",https://www.kennesaw.edu/news/stories/2025/ksu-professor-speed-crash-data-protect-school-children.php,"June 04, 2025"
