Number,Title,URL,Date
1,Kennesaw State economic impact on the rise to $2.3 billion,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-economic-impact-2.3-billion.php,"August 14, 2025"
2,Kennesaw State's MOVE Center aims to redefine the future of human mobility,https://www.kennesaw.edu/news/stories/2025/move-center-aims-to-redefine-future-of-human-mobility.php,"August 13, 2025"
3,Kennesaw State and VyStar Credit Union announce partnership and arena naming,https://ksuowls.com/news/2025/8/12/general-kennesaw-state-and-vystar-credit-union-announce-partnership-and-arena-naming.aspx,"August 12, 2025"
4,Kennesaw State student helps develop new index for cancer treatment time costs,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-student-helps-develop-new-index-for-cancer-treatment-time-costs.php,"August 11, 2025"
5,Kennesaw State physics professor receives grant to help create precise simulations for particle colliders,https://www.kennesaw.edu/news/stories/2025/physics-professor-receives-grant-simulations-particle-colliders.php,"August 08, 2025"
6,"From criminology to the classroom, Kennesaw State graduate finds purpose in special education",https://www.kennesaw.edu/news/stories/2025/ksu-student-finds-purpose-in-special-education.php,"August 07, 2025"
7,Kennesaw State's Owl Cyber Team earns top finish in national cybersecurity competition,https://www.kennesaw.edu/news/stories/2025/owlcyberteamearnstopfinishinnationalcybersecurity.php,"August 06, 2025"
8,National publication recognizes Kennesaw State with Excellence in Mental Health and Well-Being Award,https://www.kennesaw.edu/news/stories/2025/publication-recognizes-ksu-excellence-mental-health-well-being-award.php,"August 05, 2025"
9,Kennesaw State researchers examine how parents navigate children's smartphone use,https://www.kennesaw.edu/news/stories/2025/ksu-researchers-examine-parents-navigate-children-smartphone-use.php,"August 04, 2025"
10,"Kennesaw State launches Center for Interactive Media to drive innovation in VR, gaming, and digital storytelling",https://www.kennesaw.edu/news/stories/2025/center-interactive-media-drive-innovation-vr-gaming-storytelling.php,"August 01, 2025"
