Number,Title,URL,Date
1,Renowned AI expert Kathy Pham speaks at Kennesaw State's inaugural Presidential Lecture Series event,https://www.kennesaw.edu/news/stories/2025/renowned-ai-expert-speaks-ksu-presidential-lecture-series.php,"September 08, 2025"
2,Kennesaw State spreads its innovative CARE student services model,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-spreads-innovative-care-student-services-model.php,"September 05, 2025"
3,Kennesaw State alumnus looks ahead as new leader of Georgia's Supreme Court,https://www.kennesaw.edu/news/stories/2025/ksu-alumnus-looks-ahead-as-leader-georgia-supreme-court.php,"September 04, 2025"
4,Kennesaw State's President's Parliament Scholar Ambassadors lead with purpose,https://www.kennesaw.edu/news/stories/2025/president-parliament-scholar-ambassadors-lead-with-purpose.php,"September 03, 2025"
5,Physics major wins top prize in Kennesaw State's Birla Carbon Scholars Symposium,https://www.kennesaw.edu/news/stories/2025/physics-major-wins-top-prize-ksu-birla-carbon-scholars-symposium.php,"September 02, 2025"
6,Kennesaw State research aims to safeguard Georgia's transportation systems,https://www.kennesaw.edu/news/stories/2025/research-aims-to-safeguard-georgia-transportation-systems.php,"August 29, 2025"
7,Kennesaw State and Fukuoka University sign agreement to expand global fintech education,https://www.kennesaw.edu/coles/news/stories/2025-08-28-kennesaw-state-and-fukuoka-university-sign-agreement-to-expand-global-fintech-education.php,"August 28, 2025"
8,"Kennesaw State coach Jerry Mack embraces relationships, community as KSU football enters new era",https://www.kennesaw.edu/news/stories/2025/coach-embraces-community-ksu-football-enters-new-era.php,"August 28, 2025"
9,"Kennesaw State lab serves as hub for undergraduate research, scholarship",https://www.kennesaw.edu/news/stories/2025/andrew-haddow-lab-serves-hub-undergraduate-research.php,"August 27, 2025"
10,Kennesaw State passes SACSCOC Fifth-Year Interim Review,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-passes-sacscoc-fifth-year-interim-review.php,"August 26, 2025"
