Number,Title,URL,Date
1,Kennesaw State student named Newman Civic Fellow,https://www.kennesaw.edu/news/stories/2025/ksu-student-named-newman-civic-fellow.php,"September 23, 2025"
2,Family of the Year has deep ties to Kennesaw State,https://www.kennesaw.edu/news/stories/2025/family-of-the-year-deep-ties-to-ksu.php,"September 22, 2025"
3,Kennesaw State art students receive top honors in national design competition,https://www.kennesaw.edu/news/stories/2025/art-students-recieve-top-honors-national-design-competition.php,"September 19, 2025"
4,Kennesaw State researchers developing a system to improve classroom discussion,https://www.kennesaw.edu/news/stories/2025/researcher-developing-system-improve-classroom-discussion.php,"September 18, 2025"
5,Kennesaw State researchers tackling AI-generated fraud to protect data integrity ,https://www.kennesaw.edu/news/stories/2025/researchers-tackling-ai-generated-fraud-protect-data-integrity.php,"September 17, 2025"
6,KSU music student takes undergraduate research global,https://www.kennesaw.edu/arts/news/posts/trumpets-tradition-trailblazing.php,"September 16, 2025"
7,Kennesaw State secures NSF grants to build community of AI educators nationwide,https://www.kennesaw.edu/news/stories/2025/ksu-secures-nsf-grants-build-community-ai-educators-nationwide.php,"September 12, 2025"
8,Kennesaw State looks to bring Interactive Research Methods Lab to high schools,https://www.kennesaw.edu/news/stories/2025/ksu-bring-interactive-research-methods-lab-to-high-schools.php,"September 11, 2025"
9,Kennesaw State researcher aiming to bring artificial intelligence to everyday devices ,https://www.kennesaw.edu/news/stories/2025/researcher-aiming-to-bring-artificial-intelligence-everyday-devices.php,"September 10, 2025"
10,KSU researcher developing electronic nose to sniff out foodborne illness,https://www.kennesaw.edu/news/stories/2025/researcher-develop-electronic-nose-sniff-out-illness.php,"September 09, 2025"
