Number,Title,URL,Date
1,Kennesaw State students with Center for Sustainable Journalism hit the ground reporting,https://www.kennesaw.edu/news/stories/2025/ksu-students-center-for-sustainable-journalism-reporting.php,"June 03, 2025"
2,Kennesaw State student secures prestigious VICEROY Maven internship,https://www.kennesaw.edu/news/stories/2025/student-secures-viceroy-maven-internship.php,"June 02, 2025"
3,KSU Game Studio levels up with new release,https://www.kennesaw.edu/research/news/posts/chiba-launch.php,"May 30, 2025"
4,Research helps dual major forge path at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/research-helps-dual-major-forge-path-at-ksu.php,"May 30, 2025"
5,Student-led public relations agency at Kennesaw State finds success with client campaign work,https://www.kennesaw.edu/news/stories/2025/student-led-public-relations-agency-ksu-finds-success-client-campaign.php,"May 29, 2025"
6,KSU dancers selected to participate in prestigious summer workshops,https://www.kennesaw.edu/news/stories/2025/dancers-participate-prestigious-summer-workshops.php,"May 28, 2025"
7,Kennesaw State researchers develop phone application to combat elderly loneliness,https://www.kennesaw.edu/news/stories/2025/researchers-develop-app-combat-elderly-loneliness.php,"May 27, 2025"
8,Kennesaw State graduates latest cohort of the Paul Radow Scholars Program,https://www.kennesaw.edu/news/stories/2025/ksu-graduates-latest-cohort-paul-radow-scholars.php,"May 23, 2025"
9,Kennesaw State faculty member wins prestigious Art Directors Club award for creative excellence,https://www.kennesaw.edu/news/stories/2025/faculty-member-wins-art-directors-club-award.php,"May 22, 2025"
10,Kennesaw State researcher develops AI robot to aid farmers in fight against pests,https://www.kennesaw.edu/news/stories/2025/researcher-develops-ai-robot-aid-farmers-against-pests.php,"May 21, 2025"
