Number,Title,URL,Date
1,Kennesaw State program earns 2025 Regents' Award,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-program-earns-2025-regents-award.php,"August 26, 2025"
2,Kennesaw State researcher taps engineering background to discover solutions for stomach diseases,https://www.kennesaw.edu/news/stories/2025/researcher-taps-engineering-discover-solutions-stomach-diseases.php,"August 25, 2025"
3,AI expert Kathy Pham speaking at Kennesaw State to begin Presidential Lecture Series,https://www.kennesaw.edu/news/stories/2025/ksu-presidential-lecture-series-ai-expert-kathy-pham.php,"August 25, 2025"
4,Kennesaw State University recognized as Military Support College of Distinction,https://www.kennesaw.edu/news/stories/2025/ksu-recognized-military-support-college-distinction.php,"August 22, 2025"
5,Kennesaw State trio spend summer interning at Air Force Research Lab,https://www.kennesaw.edu/news/stories/2025/ksu-trio-summer-interning-air-force-research-lab.php,"August 21, 2025"
6,Kennesaw State student earns competitive internship with NBC's Today Show,https://www.kennesaw.edu/news/stories/2025/student-earns-competitive-internship-nbc-today-show.php,"August 20, 2025"
7,"Kennesaw State, Walens Family Announce Fifth Third Stadium Field Naming Partnership",https://ksuowls.com/news/2025/8/19/football-kennesaw-state-walens-family-announce-fifth-third-stadium-field-naming-partnership-halftime-ceremony.aspx,"August 19, 2025"
8,Kennesaw State associate professor appointed to national mathematics education commission,https://www.kennesaw.edu/news/stories/2025/associate-professor-appointed-national-mathematics-education-commission.php,"August 19, 2025"
9,"Kennesaw State researchers create low-cost system to monitor dams, prevent floods",https://www.kennesaw.edu/news/stories/2025/researchers-create-low-cost-system-monitor-dams.php,"August 18, 2025"
10,Dr. Luc Guglielmi appointed to full-time ombuds role at Kennesaw State,https://www.kennesaw.edu/news/stories/2025/luc-guglielmi-appointed-full-time-ombuds-kennesaw-state.php,"August 14, 2025"
